time,I10.C0,I10.C1,I10.C2,I10.C3,I10.C4,I10.C8,I10.M0,I10.M1,I10.M10,I10.M11,I10.M12,I10.M13,I10.M14,I10.M15,I10.M16,I10.M17,I10.M18,I10.M19,I10.M2,I10.M20,I10.M21,I10.M22,I10.M23,I10.M24,I10.M25,I10.M26,I10.M27,I10.M28,I10.M29,I10.M3,I10.M30,I10.M31,I10.M32,I10.M33,I10.M34,I10.M35,I10.M36,I10.M37,I10.M38,I10.M4,I10.M40,I10.M41,I10.M42,I10.M43,I10.M44,I10.M45,I10.M46,I10.M47,I10.M5,I10.M6,I10.M7,I10.M8,I10.M9,I10.R0
0,0,0,0,0,0,0,0.000204485,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,0
1.00E-08,-1.20E-11,7.36E-13,1.01E-11,-8.81E-12,-5.11E-11,6.03E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-1.20E-11
3.00E-08,-4.75E-11,-1.47E-12,4.12E-12,-6.96E-12,-5.69E-11,-1.15E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-4.75E-11
7.00E-08,-2.19E-11,-5.50E-12,-1.74E-12,-3.92E-12,-5.61E-11,-1.64E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-2.19E-11
1.50E-07,9.46E-13,-1.16E-11,-1.44E-12,-9.57E-13,-5.06E-11,-3.91E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,9.46E-13
2.50E-07,6.43E-12,-1.59E-11,-9.45E-14,1.76E-13,-4.01E-11,-5.52E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,6.43E-12
3.50E-07,7.18E-12,-1.69E-11,9.81E-14,2.89E-13,-2.77E-11,-5.89E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,7.18E-12
4.50E-07,6.19E-12,-1.56E-11,4.63E-14,1.69E-13,-1.53E-11,-5.43E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,6.19E-12
5.50E-07,4.71E-12,-1.27E-11,1.45E-14,6.69E-14,-4.55E-12,-4.42E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,4.71E-12
6.50E-07,3.23E-12,-9.00E-12,3.40E-15,1.69E-14,3.78E-12,-3.15E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,3.23E-12
7.50E-07,1.89E-12,-5.24E-12,4.76E-18,1.39E-16,9.31E-12,-1.84E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,1.89E-12
8.50E-07,7.36E-13,-1.88E-12,-6.20E-16,-2.79E-15,1.21E-11,-6.67E-15,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,7.36E-13
9.50E-07,-1.71E-13,7.77E-13,-4.35E-16,-1.93E-15,1.27E-11,2.59E-15,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-1.71E-13
1.05E-06,-8.02E-13,2.59E-12,-1.92E-16,-8.42E-16,1.15E-11,8.94E-15,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-8.02E-13
1.15E-06,-1.16E-12,3.58E-12,-5.68E-17,-2.44E-16,9.22E-12,1.24E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-1.16E-12
1.25E-06,-1.27E-12,3.85E-12,-5.71E-18,-2.35E-17,6.44E-12,1.34E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-1.27E-12
1.35E-06,-1.20E-12,3.56E-12,6.09E-18,2.23E-17,3.64E-12,1.24E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-1.20E-12
1.45E-06,-9.98E-13,2.92E-12,5.38E-18,1.44E-17,1.17E-12,1.02E-14,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-9.98E-13
1.55E-06,-7.29E-13,2.09E-12,2.82E-18,6.08E-19,-7.58E-13,7.31E-15,0.000204484,3.49E-06,1.03E-06,1.00E-06,5.18E-08,4.33E-06,9.73E-07,9.67E-07,9.73E-07,9.67E-07,9.93E-07,9.94E-07,3.71E-06,1.94E-06,1.86E-06,8.48E-06,4.33E-06,8.57E-07,7.85E-07,8.74E-07,8.79E-07,4.14E-06,8.61E-07,3.93E-06,7.85E-07,8.79E-07,8.73E-07,9.50E-07,1.86E-06,1.75E-06,9.77E-07,9.77E-07,9.50E-07,2.01E-06,5.90E-08,5.90E-08,1.18E-08,1.07E-08,6.05E-08,1.16E-08,1.16E-08,3.42E-09,2.06E-06,9.93E-07,3.71E-06,3.93E-06,1.03E-06,-7.29E-13
