simulation_index,reward
0,-3.703865018463342
1,-3.6592781264333665
2,-3.668642567255511
3,-3.6875464238064866
4,-3.558445867356233
5,-3.5590506424332884
6,-3.6479775098405227
7,-3.594739723587984
8,-3.652464127977393
9,-3.591945467285126
10,-3.665980470192292
11,-3.6705111827263943
12,-3.64190486211725
13,-3.6141562044382427
14,-3.4595479043096047
15,-3.6497901419711267
16,-3.6224144831150085
17,-3.636386072295075
18,-3.546388689084339
19,-3.6470592651954132
20,-3.6495656058416603
21,-3.5622620941939216
22,-3.628205401468722
23,-3.672021251534682
24,-3.6765225901323357
25,-3.7018428265769785
26,-3.687683881758988
27,-3.660341027219393
28,-3.639110749074275
29,-3.618819708737095
30,-3.6757829475357067
31,-3.6289142162960775
32,-3.671530271724848
33,-3.6757630873104015
34,-3.6577764878803096
35,-3.6219700265340222
36,-3.460274172930134
37,-3.642444927924201
38,-3.615678323972316
39,-3.648287593269557
40,-3.7213924972971335
41,-3.6445589348683245
42,-3.6293336089024635
43,-0.7376730840722847
44,-3.6331163162002533
45,-3.660985284882348
46,-3.6477555379721553
47,-3.6430850015513254
48,-3.453756698232342
49,-3.660997296503125
50,-3.6675371562654218
51,-3.6045301017545412
52,-3.6078229081522313
53,-3.6651242803384356
54,-3.628674287988989
55,-3.5349347968999085
56,-3.648439683397134
57,-3.6630006178578167
58,-3.5850121786424087
59,-3.6295899756126184
60,-3.6502936139649425
61,-3.657115837610181
62,-3.625253353098657
63,-3.5471220357984135
64,-3.5287182891122715
65,-3.6420777458171205
66,-3.6617023278543535
67,-3.593876526699283
68,-3.6345040919410825
69,-3.651616586367848
70,-3.6299409366494606
71,-3.381497829538773
72,-3.5860360985715545
73,-3.323771900753826
74,-3.636429739125668
75,-3.6394623923443903
76,-3.634097251928389
77,-3.6269959403825895
78,-3.6516278875912493
79,-3.6803374480853392
80,-3.653588181477007
81,-3.646823156980732
82,-3.614070702726733
83,-3.6414641898212525
84,-3.662507260480038
85,-3.6762114987960186
86,-3.649350715180745
87,-3.480150204367326
88,-3.6038766345039717
89,-3.484097248570915
90,-3.4435702644794057
91,-3.6385221279955564
92,-3.6282143427849944
93,-3.564856536488054
94,-3.585504020475534
95,-3.667136630325029
96,-3.6879450328559877
97,-3.656090054040655
98,-3.60593676365216
99,-3.466011589530686
100,-3.6426194781865058
101,-3.743466236098448
102,-3.6166179646086034
103,-3.654389934999726
104,-3.528649944153157
105,-3.6419906161535054
106,-3.606228666705083
107,-3.672072494288007
108,-3.662563436526933
109,-3.6306372395928093
110,-3.5944684778679523
111,-3.5992613097609967
112,-3.646568901300395
113,-3.6721567935399873
114,-3.6625808229410444
115,-3.7508706643882324
116,-3.6301710577916046
117,-3.6974716145272586
118,-3.553902660187534
119,-3.6563783973893296
120,-3.7044883789674654
121,-3.648248120743963
122,-3.6918552362384736
123,-3.575470523964908
124,-3.664856221389707
125,-3.6918954502492634
126,-3.6276099094387453
127,-3.6616922057655277
128,-3.522803357714204
129,-3.6205004435581523
130,-3.698976483539796
131,-3.7179231118454057
132,-3.5817576375323155
133,-3.681093666991439
134,-3.483362124464197
135,-3.6518844288089047
136,-3.6369512096979326
137,-3.5999960113142597
138,-3.59941863054083
139,-3.6214108714624516
140,-3.7826171742958103
141,-3.406663553823839
142,-3.6107986426822287
143,-3.662481924545631
144,-3.6399731904556667
145,-3.6795156229159725
146,-3.6464367963370528
147,-3.6873987502397876
148,-3.5850793635936617
149,-3.641786822365712
150,-3.596092604214471
151,-3.492760111594653
152,-3.6980981669754067
153,-3.6645989309783147
154,-3.6406949399631827
155,-3.649170641238859
156,-3.6518856844638847
157,-3.5351334193488175
158,-3.642561183866044
159,-3.309316071079073
